LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
7259977004,04/07/2020,0669,PPP,PATH UTILITY CONSTRUCTION LLC,2785 LIBERTY AVE,SPRINGDALE,AR,72762-9809,04/22/2021,Paid in Full,24,100,267800.0,267800.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,SPRINGDALE,WASHINGTON,AR,72762-9809,AR-03,37.0,237130,Unanswered,Unknown/NotStated,,267800.0,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,270202.76,03/03/2021
2831488310,01/21/2021,0669,PPS,CONSOLIDATED STEEL GROUP LLC,210 N Walton Blvd Ste 30,Bentonville,AR,72712-5081,10/15/2021,Paid in Full,60,100,253572.75,253572.75,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,Bentonville,BENTON,AR,72712-5081,AR-03,21.0,236220,Unanswered,Unknown/NotStated,,253572.75,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,255185.75,09/10/2021
6448517000,04/06/2020,0669,PPP,"ENVIRONMENTAL SERVICES COMPANY, INC.",13715 MARKHAM ST,LITTLE ROCK,AR,72211-3055,01/21/2021,Paid in Full,24,100,251700.0,251700.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Unanswered,LITTLE ROCK,PULASKI,AR,72211-3055,AR-02,24.0,541620,Unanswered,Unknown/NotStated,,251700.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,253412.96,12/10/2020
2446528607,03/15/2021,0669,PPS,VACATION RENTALS INC.,407 Town Ctr NE,Bella Vista,AR,72714-1818,10/08/2022,Paid in Full,60,100,171065.0,171065.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,Bella Vista,BENTON,AR,72714-1818,AR-03,19.0,531110,Unanswered,Unknown/NotStated,1.0,171060.0,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,173573.95,08/29/2022
7005077005,04/07/2020,0669,PPP,"PREMIUM BRANDS OF NORTHWEST AR, INC.",1601 E PUMP STATION RD,FAYETTEVILLE,AR,72701-7414,03/18/2021,Paid in Full,24,100,907000.0,907000.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,FAYETTEVILLE,WASHINGTON,AR,72701-7414,AR-03,90.0,424810,Unanswered,Unknown/NotStated,,907000.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,914230.81,01/26/2021
2080237100,04/10/2020,0669,PPP,"AIRTECH SUPPLY, INC",3058 HIGHWAY 290,HOT SPRINGS NATIONAL PARK,AR,71913-8610,11/17/2020,Paid in Full,24,100,552100.0,552100.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,R,N,N,Existing or more than 2 years old,HOT SPRINGS NATIONAL PARK,GARLAND,AR,71913-8610,AR-04,68.0,335991,Unanswered,Unknown/NotStated,,552100.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,555213.23,11/03/2020
5654957010,04/06/2020,0669,PPP,THE CHILDREN'S MUSEUM OF NORTHWEST ARKANSAS,1009 MUSEUM WAY,BENTONVILLE,AR,72712-5176,04/12/2022,Paid in Full,24,100,498500.0,498500.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,BENTONVILLE,BENTON,AR,72712-5176,AR-03,84.0,712110,Unanswered,Unknown/NotStated,,498500.0,,,,,,Non-Profit Organization,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,Y,443639.0,02/08/2022
6608527003,04/07/2020,0669,PPP,"PROFESSIONAL CABLING SOLUTIONS, LLC",2370 FORD AVE,SPRINGDALE,AR,72764-4720,04/21/2021,Paid in Full,24,100,478400.0,478400.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,Y,Y,Existing or more than 2 years old,SPRINGDALE,WASHINGTON,AR,72764-4720,AR-03,122.0,237130,Unanswered,Not Hispanic or Latino,,478400.0,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Female Owned,Unanswered,,482878.36,03/15/2021
5118887107,04/13/2020,0669,PPP,ST JOSEPH CATHOLIC SCHOOL,1722 N STARR DR,FAYETTEVILLE,AR,72701-2937,01/21/2021,Paid in Full,24,100,305600.0,305600.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,FAYETTEVILLE,WASHINGTON,AR,72701-2937,AR-03,73.0,611110,Unanswered,Unknown/NotStated,,305600.0,,,,,,Non-Profit Organization,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,Y,307611.87,12/08/2020
6290467008,04/06/2020,0669,PPP,NORWOOD & NORWOOD P.A.,2818 W NEW HOPE RD,ROGERS,AR,72758-1356,02/23/2021,Paid in Full,24,100,234700.0,234700.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,ROGERS,BENTON,AR,72758-1356,AR-03,18.0,541110,Unanswered,Not Hispanic or Latino,,234700.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Unanswered,,236499.37,01/19/2021
6823057007,04/07/2020,0669,PPP,CENTRAL CHILD CARE CENTER,2535 W NEW HOPE RD,ROGERS,AR,72758-1351,09/25/2021,Paid in Full,24,100,191100.0,191100.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,ROGERS,BENTON,AR,72758-1351,AR-03,36.0,624410,Unanswered,Unknown/NotStated,,191100.0,,,,,,Non-Profit Childcare Center,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,Y,193669.23,08/12/2021
6175417009,04/06/2020,0669,PPP,PRIME SALES & MARKETING INC,1000 WESTPARK DR Suite 8,BENTONVILLE,AR,72712-4173,01/21/2021,Paid in Full,24,100,182000.0,182000.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,BENTONVILLE,BENTON,AR,72712-4173,AR-03,10.0,424410,Unanswered,Unknown/NotStated,,182000.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Unanswered,,183155.78,02/16/2021
9339258409,02/16/2021,0669,PPS,BIG WHISKEY'S OF LITTLE ROCK LLC,319 President Clinton Ave Apt 202A,Little Rock,AR,72201-1641,10/08/2022,Paid in Full,60,100,173733.56,173733.56,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,Y,N,Existing or more than 2 years old,Little Rock,PULASKI,AR,72201-1641,AR-02,19.0,722513,Unanswered,Not Hispanic or Latino,1.0,173727.56,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Non-Veteran,,176537.43,09/22/2022
7066387008,04/07/2020,0669,PPP,"STRAIT ENTERPRISES, INC.",2020 LANTRIP RD,SHERWOOD,AR,72120-4222,01/21/2021,Paid in Full,24,100,164300.0,164300.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,Y,Existing or more than 2 years old,SHERWOOD,PULASKI,AR,72120-4222,AR-02,14.0,423120,Unanswered,Not Hispanic or Latino,,164300.0,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Non-Veteran,,165358.82,12/03/2020
5483037010,04/05/2020,0669,PPP,HANNA'S CANDLE COMPANY,2700 S ARMSTRONG AVE,FAYETTEVILLE,AR,72701-7274,04/21/2021,Paid in Full,24,100,1269397.0,1269397.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,FAYETTEVILLE,WASHINGTON,AR,72701-7274,AR-03,157.0,333999,Unanswered,Unknown/NotStated,,1269397.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,1281421.01,03/18/2021
8228578305,01/29/2021,0669,PPS,ADMIRAL MOVING SERVICES INC,1245 E Henri de Tonti Blvd,Springdale,AR,72762-9725,02/12/2022,Paid in Full,60,100,307782.0,307782.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,Springdale,WASHINGTON,AR,72762-9725,AR-03,39.0,484210,Unanswered,Unknown/NotStated,1.0,307777.0,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Female Owned,Non-Veteran,,310680.28,01/06/2022
5504047405,05/12/2020,0669,PPP,"DEVELOPMENTAL DISCOVERIES, INC",1041 HIGHLAND CIR,MOUNTAIN HOME,AR,72653-3204,04/21/2021,Paid in Full,24,100,302421.0,302400.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,R,N,N,Existing or more than 2 years old,MOUNTAIN HOME,BAXTER,AR,72653-3204,AR-01,75.0,623210,Unanswered,Unknown/NotStated,,302400.0,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,304819.2,02/25/2021
6077147203,04/27/2020,0669,PPP,"LUTHER STEM CONSTRUCTION COMPANY, INC",5011 OLD GREENWOOD ST,FORT SMITH,AR,72903-6947,01/21/2021,Paid in Full,24,100,284300.0,284300.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,FORT SMITH,SEBASTIAN,AR,72903-6947,AR-03,32.0,238110,Unanswered,Unknown/NotStated,,284300.0,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,286013.7,12/04/2020
8017867008,04/08/2020,0669,PPP,HARVEST TIME ACADEMY,3300 BRIAR CLIFF AVE,FORT SMITH,AR,72908-8309,06/10/2021,Paid in Full,24,100,277400.0,277400.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,FORT SMITH,SEBASTIAN,AR,72908-8309,AR-03,62.0,813110,Unanswered,Unknown/NotStated,,277400.0,,,,,,Non-Profit Organization,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,Y,278964.23,11/03/2020
4590248305,01/23/2021,0669,PPS,SMILE CENTER PA,920 W Emma Ave,Springdale,AR,72764-4472,11/13/2021,Paid in Full,60,100,252400.0,252400.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,Y,Y,Existing or more than 2 years old,Springdale,WASHINGTON,AR,72764-4472,AR-03,23.0,621210,Unanswered,Unknown/NotStated,,252399.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,254180.82,10/06/2021
8430127002,04/08/2020,0669,PPP,"FIBER TEL CONTRACTORS, INC",5710 HIGHWAY 5,MIDWAY,AR,72651-9409,06/10/2021,Paid in Full,24,100,230100.0,230100.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,R,N,N,Existing or more than 2 years old,MIDWAY,BAXTER,AR,72651-9409,AR-01,35.0,238210,Unanswered,Unknown/NotStated,,230100.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Non-Veteran,,231391.12,11/03/2020
1952698501,02/19/2021,0669,PPS,THE WOODEN ROOF LLC,237 S Locust Ave,Fayetteville,AR,72701-5939,10/15/2021,Paid in Full,60,100,185055.5,185055.5,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,Y,N,Existing or more than 2 years old,Fayetteville,WASHINGTON,AR,72701-5939,AR-03,45.0,722410,Unanswered,Unknown/NotStated,1.0,185049.5,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,186145.27,09/21/2021
8442067005,04/08/2020,0669,PPP,"ROADSIDE SERVICES, LLC",111 E LINDEN ST,ROGERS,AR,72756-6035,05/20/2021,Paid in Full,24,100,169100.0,169100.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,ROGERS,BENTON,AR,72756-6035,AR-03,39.0,488410,Unanswered,Unknown/NotStated,,169100.0,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,170512.3,02/10/2021
4333797102,04/13/2020,0669,PPP,"ECOTECH ENTERPRISES, INC",7100 COLONEL MAYNARD RD,SCOTT,AR,72142-9706,08/18/2021,Paid in Full,24,100,152414.34,152414.34,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,SCOTT,PULASKI,AR,72142-9706,AR-01,13.0,541715,Unanswered,Unknown/NotStated,,152414.34,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,154336.45,07/20/2021
7377067003,04/07/2020,0669,PPP,"R&R PACKAGING, INC.",601 1ST AVE NW,GRAVETTE,AR,72736-9388,07/17/2021,Paid in Full,24,100,1771000.0,1771000.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,Y,N,Existing or more than 2 years old,GRAVETTE,BENTON,AR,72736-9388,AR-03,151.0,541519,White,Not Hispanic or Latino,,1771000.0,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Veteran,,1792202.81,06/16/2021
2901688601,03/16/2021,0669,PPS,SWEET TEA LLLP,4579 Clear Creek Blvd,Fayetteville,AR,72704-9314,04/20/2021,Paid in Full,60,100,876130.5,876130.5,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,Fayetteville,WASHINGTON,AR,72704-9314,AR-03,198.0,722513,Unanswered,Unknown/NotStated,1.0,876124.5,,,,,,Limited Liability Partnership,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,885962.63,04/26/2022
6161857000,04/06/2020,0669,PPP,"RP POWER, LLC",7777 NORTHSHORE PL,NORTH LITTLE ROCK,AR,72118-5301,01/21/2021,Paid in Full,24,100,693800.0,693800.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,NORTH LITTLE ROCK,PULASKI,AR,72118-5301,AR-02,66.0,811310,White,Unknown/NotStated,,693800.0,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Non-Veteran,,698215.45,02/16/2021
1038757203,04/15/2020,0669,PPP,"JAY BIRD MANUFACTURING COMPANY OF ARKANSAS, INC.","314 REYNOLDS RD, BLDG 38B",MALVERN,AR,72104-8811,09/24/2021,Paid in Full,24,100,297500.0,297500.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,R,N,N,Existing or more than 2 years old,MALVERN,HOT SPRING,AR,72104-8811,AR-04,48.0,321920,White,Unknown/NotStated,,297500.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Male Owned,Non-Veteran,,301317.92,07/29/2021
6884497210,04/28/2020,0669,PPP,"J & J AG, INC",1106 MINNOW FARM RD,BRINKLEY,AR,72021-9294,09/24/2021,Paid in Full,24,100,293700.0,293700.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,R,Y,N,Existing or more than 2 years old,BRINKLEY,MONROE,AR,72021-9294,AR-01,49.0,112511,Unanswered,Unknown/NotStated,,293700.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,297469.15,08/05/2021
1640308501,02/19/2021,0669,PPP,CONWAY AREA CHAMBER OF COMMERCE,900 Oak St,Conway,AR,72032-4402,10/15/2021,Paid in Full,60,100,220240.0,220240.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,R,Y,Y,Existing or more than 2 years old,Conway,FAULKNER,AR,72032-4402,AR-02,17.0,813910,Unanswered,Unknown/NotStated,1.0,220238.0,,,,,,501(c)6 ¿ Non Profit Membership,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,221414.61,09/01/2021
7075077000,04/07/2020,0669,PPP,WSP2 LLC,3619 N MALL AVE,FAYETTEVILLE,AR,72703-4915,09/24/2021,Paid in Full,24,100,172200.0,210736.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,FAYETTEVILLE,WASHINGTON,AR,72703-4915,AR-03,34.0,722511,Unanswered,Unknown/NotStated,,210736.0,,,,,,Limited  Liability Company(LLC),4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,213575.08,08/12/2021
1335397100,04/10/2020,0669,PPP,"GEORGE'S HVAC, LLC",PO BOX 1533,ROGERS,AR,72757-1533,05/20/2021,Paid in Full,24,100,208500.0,208500.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,ROGERS,BENTON,AR,72757-1533,AR-03,17.0,238220,Unanswered,Unknown/NotStated,,208500.0,,,,,,Subchapter S Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,210579.21,04/08/2021
4362288402,02/06/2021,0669,PPS,BUCKSTAFF BATH HOUSE COMPANY,509 Central Ave,Hot Springs,AR,71901-3596,01/12/2022,Paid in Full,60,100,185630.0,185630.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,R,Y,Y,Existing or more than 2 years old,Hot Springs,GARLAND,AR,71901-3596,AR-04,32.0,812199,Unanswered,Unknown/NotStated,1.0,185626.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,187192.39,12/08/2021
1439217108,04/10/2020,0669,PPP,"FERNCLIFF CAMP & CONFERENCE CENTER, INC.",1720 FERNCLIFF RD,LITTLE ROCK,AR,72223-9404,06/18/2021,Paid in Full,24,100,157500.0,157500.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,N,N,Existing or more than 2 years old,LITTLE ROCK,PULASKI,AR,72223-9404,AR-02,30.0,721110,Unanswered,Unknown/NotStated,,157500.0,,,,,,Professional Association,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,159228.12,05/17/2021
8333187007,04/08/2020,0669,PPP,"BRUNNER & LAY, INC",1510 N OLD MISSOURI RD,SPRINGDALE,AR,72764-2615,06/18/2021,Paid in Full,24,100,1977000.0,1977000.0,0.0,,4282,Arvest Bank,75 N East Ave,FAYETTEVILLE,AR,72701-6171,U,Y,Y,Existing or more than 2 years old,SPRINGDALE,WASHINGTON,AR,72764-2615,AR-03,220.0,333120,Unanswered,Unknown/NotStated,,1977000.0,,,,,,Corporation,4282,Arvest Bank,FAYETTEVILLE,AR,Unanswered,Unanswered,,1999076.5,05/21/2021
