Listing,Date,Keyword,State,City,Category,Sub Category,Listing URL,Potential,Numbered Date,Country, Date Searched
2010 Challenger 965C w/ Bron DL400 Tile Plow, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Iowa, Des Moines, For Sale-Wanted, Heavy Equipment, https://desmoines.craigslist.org/hvo/d/rockwell-2010-challenger-965c-bron/7004464445.html,,2019-11-21,US,2019-11-21
2010 Challenger 965C w/ Bron DL400 Tile Plow, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Iowa, Des Moines, For Sale-Wanted, Farm and Garden, https://desmoines.craigslist.org/grd/d/rockwell-2010-challenger-965c-bron/7004460998.html,,2019-11-21,US,2019-11-21
2010 Challenger 965C w/ Bron DL400 Tile Plow, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Iowa, Mason City, For Sale-Wanted, Farm and Garden, https://masoncity.craigslist.org/grd/d/rockwell-2010-challenger-965c-bron/7004471407.html,,2019-11-21,US,2019-11-21
2010 Challenger 965C w/ Bron DL 400 Tile Plow, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Iowa, Mason City, For Sale-Wanted, Heavy Equipment, https://masoncity.craigslist.org/hvo/d/rockwell-2010-challenger-965c-bron-dl/7004469629.html,,2019-11-21,US,2019-11-21
Buy anytime Old WatchesCoinsSilverGold Coin Anytime Cash, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Georgia, Atlanta, For Sale-Wanted, Jewelry, https://atlanta.craigslist.org/atl/jwl/d/atlanta-buy-anytime-old/7012529735.html,,2019-11-21,US,2019-11-21
93.7 Acre Farm in Tifton For Lease or Sale, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Georgia, Atlanta, For Sale-Wanted, Farm and Garden, https://atlanta.craigslist.org/atl/grd/d/tifton-937-acre-farm-in-tifton-for/7012431273.html,,2019-11-21,US,2019-11-21
1997 Caterpillar 953C, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Georgia, Atlanta, For Sale-Wanted, Heavy Equipment, https://atlanta.craigslist.org/eat/hvo/d/lawrenceville-1997-caterpillar-953c/7009375259.html,,2019-11-21,US,2019-11-21
93.7 Acre Farm in Tifton For Lease or Sale, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Georgia, Valdosta, For Sale-Wanted, Farm and Garden, https://valdosta.craigslist.org/grd/d/tifton-937-acre-farm-in-tifton-for/7012429393.html,,2019-11-21,US,2019-11-21
86 sternwheeler houseboat, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, South Carolina, Columbia, For Sale-Wanted, Boat Parts, https://columbia.craigslist.org/boa/d/liberty-hill-86-sternwheeler-houseboat/7017288979.html,,2019-11-21,US,2019-11-21
8.5 Acres in Conway S.C., Nov 21, &excats=134-40&min_price=200000&max_price=1000000, South Carolina, Myrtle Beach, For Sale-Wanted, Farm and Garden, https://myrtlebeach.craigslist.org/grd/d/conway-85-acres-in-conway-sc/7024377632.html,,2019-11-21,US,2019-11-21
82 Acres Cannabis Farm, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Massachusetts, Boston, For Sale-Wanted, Farm and Garden, https://boston.craigslist.org/bmw/grd/d/sudbury-82-acres-cannabis-farm/7018770981.html,,2019-11-21,US,2019-11-21
-??BUYER IPHONE X XS 11 PRO MAX  XR  8  7 PLUS MACBOOK ?? CASH NOW, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Arizona, Phoenix, For Sale-Wanted, Wanted, https://phoenix.craigslist.org/nph/wad/d/phoenix-buyer-iphone-xs-11-pro-max-xr/7024341082.html,,2019-11-21,US,2019-11-21
??BUYER IPHONE X XS 11 PRO MAX  XR  8  7 PLUS MACBOOK ?? CASH NOW, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Arizona, Phoenix, For Sale-Wanted, Wanted, https://phoenix.craigslist.org/nph/wad/d/phoenix-buyer-iphone-xs-11-pro-max-xr/7024284820.html,,2019-11-21,US,2019-11-21
??BUYER IPHONE X XS 11 PRO MAX  XR  8  7 PLUS MACBOOK ?? CASH NOW, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Arizona, Phoenix, For Sale-Wanted, Wanted, https://phoenix.craigslist.org/nph/wad/d/phoenix-buyer-iphone-xs-11-pro-max-xr/7024207807.html,,2019-11-21,US,2019-11-21
NoWwww NeeeW####galaxy S9 Un locked 64 $$##, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Nevada, Las Vegas, For Sale-Wanted, Cell Phones, https://lasvegas.craigslist.org/mob/d/las-vegas-nowwww-neeewgalaxy-s9-un/7009287407.html,,2019-11-21,US,2019-11-21
@@!WWE USED@S7/S7/S8/S9 edge/Metro PCs!! All Color Nee!!d %%RR, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Nevada, Las Vegas, For Sale-Wanted, Cell Phones, https://lasvegas.craigslist.org/mob/d/las-vegas-wwe-useds7-s7-s8-s9-edge/7009278406.html,,2019-11-21,US,2019-11-21
NE##@W Sell At iPhone X @tt Galaxy S8 s9 -[=&#39;]TTT, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Nevada, Las Vegas, For Sale-Wanted, Cell Phones, https://lasvegas.craigslist.org/mob/d/las-vegas-new-sell-at-iphone-tt-galaxy/7009276369.html,,2019-11-21,US,2019-11-21
Noww PARTS=Freshhh ?otter box for 8 plus 7splus $$, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Nevada, Las Vegas, For Sale-Wanted, Cell Phones, https://lasvegas.craigslist.org/mob/d/las-vegas-noww-partsfreshhh-otter-box/7017323350.html,,2019-11-21,US,2019-11-21
@@# Now MosT Pay F-PASSWORD-R iPHONE X 236 GB =neeed &&*, Nov 21, &excats=134-40&min_price=200000&max_price=1000000, Nevada, Las Vegas, For Sale-Wanted, Cell Phones, https://lasvegas.craigslist.org/mob/d/las-vegas-now-most-pay-password-iphone/7017230798.html,,2019-11-21,US,2019-11-21
