Listing,Date,Keyword,State,City,Category,Sub Category,Listing URL,Potential,Numbered Date,Country, Date Searched
We Buy NASCAR Racing Suits and Crew Shirt, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, North Carolina, Charlotte, For Sale-Wanted, Wanted, https://charlotte.craigslist.org/wan/d/mooresville-we-buy-nascar-racing-suits/7020128753.html,,2019-11-21,US,2019-11-21
****Metal wanted****, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, Pennsylvania, Philadelphia, For Sale-Wanted, Wanted, https://philadelphia.craigslist.org/wan/d/metal-wanted/7024241953.html,Want,2019-11-21,US,2019-11-21
2011 ford fusion parts... RUNS, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, Pennsylvania, Pittsburgh, For Sale-Wanted, Auto Parts by Owner, https://pittsburgh.craigslist.org/pts/d/mckeesport-2011-ford-fusion-parts-runs/7024379142.html,,2019-11-21,US,2019-11-21
We buy hino-ud-isuzu-frr npr nrr, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Los Angeles, For Sale-Wanted, Wanted, https://losangeles.craigslist.org/lac/wan/d/ontario-we-buy-hino-ud-isuzu-frr-npr-nrr/7024439580.html,,2019-11-21,US,2019-11-21
We buy hino-ud-isuzu-frr npr nrr, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Los Angeles, For Sale-Wanted, Wanted, https://losangeles.craigslist.org/lac/wan/d/ontario-we-buy-hino-ud-isuzu-frr-npr-nrr/7024439320.html,,2019-11-21,US,2019-11-21
Forklift For Sale 2015 Hyster 8K, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Los Angeles, For Sale-Wanted, General, https://losangeles.craigslist.org/lac/for/d/huntington-park-forklift-for-sale-2015/7019987614.html,,2019-11-21,US,2019-11-21
Forklift For Sale 2015 Hyster 8K, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Los Angeles, For Sale-Wanted, General, https://losangeles.craigslist.org/lac/for/d/huntington-park-forklift-for-sale-2015/7014712150.html,,2019-11-21,US,2019-11-21
Forklift For Sale 2015 Hyster 8K, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Los Angeles, For Sale-Wanted, General, https://losangeles.craigslist.org/lac/for/d/huntington-park-forklift-for-sale-2015/7019306392.html,,2019-11-21,US,2019-11-21
Forklift For Sale 2015 Hyster 8K, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Los Angeles, For Sale-Wanted, General, https://losangeles.craigslist.org/lac/for/d/huntington-park-forklift-for-sale-2015/7019873631.html,,2019-11-21,US,2019-11-21
Dewalt or Rigid impact driver wanted, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Los Angeles, For Sale-Wanted, Wanted, https://losangeles.craigslist.org/lgb/wan/d/long-beach-dewalt-or-rigid-impact/7024235343.html,Want,2019-11-21,US,2019-11-21
LIQUIDATION SALE - 50% OFF ENTIRE STORE - LAST DAYS -HOME DEPOT STUFF, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Sacramento, For Sale-Wanted, Household, https://sacramento.craigslist.org/hsh/d/sacramento-liquidation-sale-50-off/7018583373.html,,2019-11-21,US,2019-11-21
BUYING BASEBALL FOOTBALL BASKETBALL CARD COLLECTIONS, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, California, Sacramento, For Sale-Wanted, Wanted, https://sacramento.craigslist.org/wan/d/roseville-buying-baseball-football/7009969348.html,,2019-11-21,US,2019-11-21
Wanted - Pontoon boat console, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, South Carolina, Charleston, For Sale-Wanted, Boat Parts, https://charleston.craigslist.org/bpo/d/charleston-afb-wanted-pontoon-boat/7024271579.html,Want,2019-11-21,US,2019-11-21
Unleash student creativity Book Creator is a simple tool for creating, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, District of Columbia, Washington, For Sale-Wanted, Cell Phones, https://washingtondc.craigslist.org/nva/mob/d/woodbridge-unleash-student-creativity/7013252162.html,,2019-11-21,US,2019-11-21
8A needs loan for Government Contracting, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, District of Columbia, Washington, For Sale-Wanted, Wanted, https://washingtondc.craigslist.org/nva/wan/d/washington-8a-needs-loan-for-government/7024288118.html,Want,2019-11-21,US,2019-11-21
DEVELOPMENT OPPORTUNITY, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, Illinois, Chicago, For Sale-Wanted, Farm and Garden, https://chicago.craigslist.org/nch/grd/d/development-opportunity/7024237043.html,,2019-11-21,US,2019-11-21
Wanted Taxidermy will pay cash, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, Illinois, Rockford, For Sale-Wanted, Wanted, https://rockford.craigslist.org/wan/d/rockford-wanted-taxidermy-will-pay-cash/7012124631.html,Want,2019-11-21,US,2019-11-21
5.3 Chevy Tahoe parts, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, Florida, Jacksonville, For Sale-Wanted, Auto Parts by Owner, https://jacksonville.craigslist.org/pts/d/jacksonville-53-chevy-tahoe-parts/7024266561.html,,2019-11-21,US,2019-11-21
HORSES & DONKEYS FOR SALE, Nov 21, &excats=134-40&min_price=1000000&max_price=2000000, Missouri, St Louis, For Sale-Wanted, Farm and Garden, https://stlouis.craigslist.org/grd/d/lebanon-horses-donkeys-for-sale/7007604927.html,,2019-11-21,US,2019-11-21
