Listing,Date,Keyword,State,City,Category,Sub Category,Listing URL,Potential,Numbered Date,Country, Date Searched
Foxbody Mustang, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Cincinnati, For Sale-Wanted, Wanted, https://cincinnati.craigslist.org/wan/d/port-huron-foxbody-mustang/7024407767.html,,2019-11-21,US,2019-11-21
2010 Ferrari California 2dr Conv Finance Made Easy Apply NOW !!!, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Columbus, For Sale-Wanted, Cars And by Dealer, https://columbus.craigslist.org/ctd/d/columbus-2010-ferrari-california-2dr/7024471623.html,,2019-11-21,US,2019-11-21
Kitchen Cabinet Wholesale (APPOINTMENT NEEDED NO WALK INS), Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Columbus, For Sale-Wanted, General, https://columbus.craigslist.org/for/d/columbus-kitchen-cabinet-wholesale/7024424276.html,Want,2019-11-21,US,2019-11-21
Kitchen Cabinet Wholesale (APPOINTMENT NEEDED NO WALK INS), Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Columbus, For Sale-Wanted, Materials, https://columbus.craigslist.org/mat/d/columbus-kitchen-cabinet-wholesale/7024422445.html,Want,2019-11-21,US,2019-11-21
Kitchen Cabinet Wholesale, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Columbus, For Sale-Wanted, Furniture, https://columbus.craigslist.org/fuo/d/columbus-kitchen-cabinet-wholesale/7023101664.html,,2019-11-21,US,2019-11-21
2003 Ford Expedition 03 Parts Parts, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Columbus, For Sale-Wanted, Auto Parts by Owner, https://columbus.craigslist.org/pts/d/columbus-2003-ford-expedition-03-parts/7024412771.html,,2019-11-21,US,2019-11-21
Kitchen Cabinet Wholesale (APPOINTMENT NEEDED NO WALK INS), Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Columbus, For Sale-Wanted, Materials, https://columbus.craigslist.org/mat/d/columbus-kitchen-cabinet-wholesale/7024390170.html,Want,2019-11-21,US,2019-11-21
2015 Bobcat T770 w/Brand New Bradco MM60 Forestry Mulcher!! #2936, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Columbus, For Sale-Wanted, Heavy Equipment, https://columbus.craigslist.org/hvd/d/blacklick-2015-bobcat-t770-brand-new/7024306271.html,,2019-11-21,US,2019-11-21
2003 Kolbus Book Binder for sale, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Toledo, For Sale-Wanted, Heavy Equipment, https://toledo.craigslist.org/hvo/d/fort-wayne-2003-kolbus-book-binder-for/7005279537.html,,2019-11-21,US,2019-11-21
Work bench, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Ohio, Youngstown, For Sale-Wanted, General, https://youngstown.craigslist.org/for/d/berlin-center-work-bench/7023051069.html,,2019-11-21,US,2019-11-21
55 gallon barrels for sale, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, Baton Rouge, For Sale-Wanted, Farm and Garden, https://batonrouge.craigslist.org/grd/d/roseland-55-gallon-barrels-for-sale/7013292289.html,,2019-11-21,US,2019-11-21
2014 Peterbilt Car Carrier, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, Baton Rouge, For Sale-Wanted, Heavy Equipment, https://batonrouge.craigslist.org/hvo/d/nashville-2014-peterbilt-car-carrier/7024215403.html,,2019-11-21,US,2019-11-21
Ted Brewer 52&#39; Custom built Ocean Cruiser, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, New Orleans, For Sale-Wanted, Boat Parts, https://neworleans.craigslist.org/boa/d/ocean-springs-ted-brewer-52-custom/7020981853.html,,2019-11-21,US,2019-11-21
$$ WE BUY ALL IPHONE X XR XS XS MAX$ BRAND NEW --WILL PAY TOP CASH $$$, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, New Orleans, For Sale-Wanted, Wanted, https://neworleans.craigslist.org/wad/d/metairie-we-buy-all-iphone-xr-xs-xs-max/7024456977.html,,2019-11-21,US,2019-11-21
$$ WE BUY ALL IPHONE X XR XS XS MAX$ BRAND NEW --WILL PAY TOP CASH $$$, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, New Orleans, For Sale-Wanted, Wanted, https://neworleans.craigslist.org/wad/d/metairie-we-buy-all-iphone-xr-xs-xs-max/7024456102.html,,2019-11-21,US,2019-11-21
$$ WE BUY ALL IPHONE X XR XS XS MAX$ BRAND NEW --WILL PAY TOP CASH $$$, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, New Orleans, For Sale-Wanted, Wanted, https://neworleans.craigslist.org/wad/d/metairie-we-buy-all-iphone-xr-xs-xs-max/7024455092.html,,2019-11-21,US,2019-11-21
$$ WE BUY ALL IPHONE X XR XS XS MAX$ BRAND NEW --WILL PAY TOP CASH $$$, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, New Orleans, For Sale-Wanted, Wanted, https://neworleans.craigslist.org/wad/d/metairie-we-buy-all-iphone-xr-xs-xs-max/7024454325.html,,2019-11-21,US,2019-11-21
Investors Special, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, New Orleans, For Sale-Wanted, General, https://neworleans.craigslist.org/for/d/new-orleans-investors-special/7024279027.html,,2019-11-21,US,2019-11-21
2019 Sundowner Trailers 39&#39; Open Model Toy Hauler ALL ALUMINUM, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Louisiana, New Orleans, For Sale-Wanted, NA, https://neworleans.craigslist.org/trb/d/pearl-2019-sundowner-trailers-39-open/7024231834.html,,2019-11-21,US,2019-11-21
TOP $$ NIKKI GLASER @ IMPROV, Nov 21, &excats=134-40&min_price=75000&max_price=199999, District of Columbia, Washington, For Sale-Wanted, Tickets, https://washingtondc.craigslist.org/doc/tix/d/washington-top-nikki-glaser-improv/7024320003.html,,2019-11-21,US,2019-11-21
!!!DISCOUNTED HOUSE MUST SELL FAST!!!!!, Nov 21, &excats=134-40&min_price=75000&max_price=199999, District of Columbia, Washington, For Sale-Wanted, General, https://washingtondc.craigslist.org/mld/for/d/nottingham-discounted-house-must-sell/7024313829.html,,2019-11-21,US,2019-11-21
***HOME NEEDS TLC ***, Nov 21, &excats=134-40&min_price=75000&max_price=199999, District of Columbia, Washington, For Sale-Wanted, Wanted, https://washingtondc.craigslist.org/mld/wan/d/edgewood-home-needs-tlc/7024317985.html,Want,2019-11-21,US,2019-11-21
stained glass supplies, Nov 21, &excats=134-40&min_price=75000&max_price=199999, District of Columbia, Washington, For Sale-Wanted, Art by Owner, https://washingtondc.craigslist.org/mld/art/d/rockville-stained-glass-supplies/7019220688.html,,2019-11-21,US,2019-11-21
stained glass supplies, Nov 21, &excats=134-40&min_price=75000&max_price=199999, District of Columbia, Washington, For Sale-Wanted, Materials, https://washingtondc.craigslist.org/mld/mat/d/rockville-stained-glass-supplies/7021113542.html,,2019-11-21,US,2019-11-21
2016 Jayco Seneca 37TS Triple Slide-Out Super C Diesel Motorhome #9851, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Bend, For Sale-Wanted, RVs, https://bend.craigslist.org/rvd/d/cedar-ridge-2016-jayco-seneca-37ts/7024480466.html,,2019-11-21,US,2019-11-21
2018 Porsche 911 Graphite Blue Metallic *BIG SAVINGS..LOW PRICE*, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Bend, For Sale-Wanted, Cars And by Dealer, https://bend.craigslist.org/ctd/d/bend-2018-porsche-911-graphite-blue/7024365838.html,,2019-11-21,US,2019-11-21
Sany SY135C EXCAVATOR SAVE AT LEAST 40%, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Bend, For Sale-Wanted, Heavy Equipment, https://bend.craigslist.org/hvd/d/silverdale-sany-sy135c-excavator-save/7024338703.html,,2019-11-21,US,2019-11-21
2006 Monaco Signature Castle 45&#39;, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Eugene, For Sale-Wanted, RVs, https://eugene.craigslist.org/rvd/d/junction-city-2006-monaco-signature/7024308726.html,,2019-11-21,US,2019-11-21
Parting out 2002 Tacoma, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Oregon Coast, For Sale-Wanted, Auto Parts by Owner, https://oregoncoast.craigslist.org/pts/d/woodburn-parting-out-2002-tacoma/7024437444.html,,2019-11-21,US,2019-11-21
(now parting out)Jeep Willys buggy project, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Portland, For Sale-Wanted, Auto Parts by Owner, https://portland.craigslist.org/clk/pts/d/gig-harbor-now-parting-outjeep-willys/7023118105.html,,2019-11-21,US,2019-11-21
2013 Cat D5K LGP Dozer, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Portland, For Sale-Wanted, Heavy Equipment, https://portland.craigslist.org/mlt/hvd/d/snohomish-2013-cat-d5k-lgp-dozer/7024516187.html,,2019-11-21,US,2019-11-21
2005 Cat D8T Dozer, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Portland, For Sale-Wanted, Heavy Equipment, https://portland.craigslist.org/mlt/hvd/d/snohomish-2005-cat-d8t-dozer/7024509470.html,,2019-11-21,US,2019-11-21
2015 Link Belt 350X4 Excavator, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Portland, For Sale-Wanted, Heavy Equipment, https://portland.craigslist.org/mlt/hvd/d/snohomish-2015-link-belt-350x4-excavator/7024492673.html,,2019-11-21,US,2019-11-21
2019 Case CX130 D Excavator, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Portland, For Sale-Wanted, Heavy Equipment, https://portland.craigslist.org/mlt/hvd/d/snohomish-2019-case-cx130-excavator/7024489395.html,,2019-11-21,US,2019-11-21
2015 Cat 312E Excavator, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Portland, For Sale-Wanted, Heavy Equipment, https://portland.craigslist.org/mlt/hvd/d/snohomish-2015-cat-312e-excavator/7024475395.html,,2019-11-21,US,2019-11-21
???? B&R UP T0 50% OFF, Nov 21, &excats=134-40&min_price=75000&max_price=199999, Oregon, Portland, For Sale-Wanted, Appliance by Dealer, https://portland.craigslist.org/wsc/ppd/d/beaverton-br-up-t0-50-off/7024470101.html,,2019-11-21,US,2019-11-21
