source_folder,path,size,modified_utc,sha256
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_backup\installation_id,36,2026-05-20T09:30:08Z,ac05462944b4eb4aebda2279d841b5454ad5e4305e092ba0f9e593302eb5e788
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_pkg\conversation.txt,3141,2026-05-13T07:41:48Z,318d29f439b92432e729aaa03bbb5a11a88fcd289c7a05d891a84d53ba6d5711
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_pkg\core_scanner.py,6303,2026-05-13T07:41:48Z,5ce33fed250c0aa474b899c101ca9183daa8474ce5c17831c10dcba884c75225
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_pkg\README.txt,1437,2026-05-13T07:41:48Z,62395331a9393149f9b8627a26ac00928336220c102321081ac773929a040065
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_pkg\run_scan_termux.sh,401,2026-05-13T07:41:48Z,f7d2ff63c5686d47d5c7cb494d0d03512096a595885ebc2efe4d28dc69372d25
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_pkg\run_scan_unix.sh,387,2026-05-13T07:41:48Z,b975848a197b7a02888c80c52f3bae96c2712fc5f8c033959cf82e52c6e45dc8
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_pkg\run_scan_windows.ps1,553,2026-05-13T07:41:48Z,e889593319346564331eb954033a0eae66803d2251b1219046f42223313c8a28
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_windows\install.bat,245,2021-07-24T15:01:18Z,33fa53184ee65c2615d31800d118966f5e1436b5d287bca37e9485987bab9f9f
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_windows\ReadMe.txt,545,2021-07-24T15:01:18Z,647c09cc23a8f0e7b199220392511d5ba0c691589ef126ce4d424a895d282717
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\extracted_windows\uninstall.bat,1124,2021-07-24T15:01:18Z,ff05a7ce113537186651709a212fe936b93f756e4f405b77ebd55b114693feec
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\qag2-osint-extension\CHROMEWEBSTORE.md,3646,2026-07-01T09:52:52.154607Z,3323b7864ddb15a6eb4ac222f16d0d4f73f89dc92e5ee771951c6fdf9cf303f1
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\qag2-osint-extension\manifest.json,737,2026-07-01T10:33:34.524090Z,91475d06cc819ab44e39ce545d833fbfab383313aaad0a52a119407c693f6191
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\qag2-osint-extension\service-worker.js,1695,2026-07-01T10:49:23.406587Z,4030934a4f4e6939aabde546e7995005960d29e7abf2d935d355f65d81387d21
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\qag2-osint-extension\content-scripts\gmail-scraper.js,2529,2026-07-01T10:40:15.742332Z,33b2ab2a8605ee1367fe0bff78098f013fae541916c62d5badee167c7ab976f2
C:\Users,C:\Users\HP\OneDrive\Documents\AG2OSINTNEOMAXX\qag2-osint-extension\sidepanel\panel.css,11447,2026-07-01T09:54:04.587294Z,4bff290ffa8a9edc20cff1a6e5e691f8f42abeb1cd353a2b7d8adc569011fdb7
